Day,Freq,Flux,Error,
3.37,2.60,-0.03,0.04,non-detection
3.37,3.40,0.02,0.03,non-detection
3.37,5.10,0.02,0.03,non-detection
3.37,7.00,0.02,0.03,non-detection
3.37,13.70,0.01,0.02,non-detection
3.37,16.50,0.01,0.02,non-detection
3.37,31.10,0.07,0.05,non-detection
3.37,34.90,0.10,0.05,flux from deepclean image
4.35,2.60,-0.02,0.05,non-detection
4.35,3.40,0.03,0.03,non-detection
4.35,5.10,-0.01,0.02,non-detection
4.35,7.00,0.03,0.03,non-detection
4.35,13.70,0.04,0.02,flux from deepclean image
4.35,16.50,0.04,0.02,flux from deepclean image
4.35,31.10,0.12,0.02,flux from deepclean image
4.35,34.90,0.13,0.05,flux from deepclean image
5.38,2.60,-0.05,0.04,non-detection
5.38,3.40,0.00,0.03,non-detection
5.38,5.10,0.00,0.03,non-detection
5.38,7.00,0.01,0.03,non-detection
5.38,13.70,0.05,0.02,flux from deepclean image
5.38,16.50,0.02,0.02,non-detection
5.38,31.10,0.13,0.05,flux from deepclean image
5.38,34.90,0.21,0.05,flux from deepclean image
9.35,2.60,0.08,0.09,non-detection
9.35,3.40,0.00,0.03,non-detection
9.35,5.10,0.02,0.03,non-detection
9.35,7.00,0.02,0.03,non-detection
9.35,13.70,0.20,0.02,NaN
9.35,16.50,0.27,0.02,NaN
9.35,31.10,0.85,0.05,NaN
9.35,34.90,0.95,0.06,NaN
10.34,2.60,0.01,0.04,non-detection
10.34,3.40,0.01,0.02,non-detection
10.34,5.10,0.04,0.02,non-detection
10.34,7.00,0.06,0.02,"detected, flux from the deepclean image"
10.34,13.70,0.33,0.02,NaN
10.34,16.50,0.48,0.02,NaN
10.34,31.10,1.35,0.05,NaN
10.34,34.90,1.54,0.05,NaN
13.28,2.60,0.05,0.04,NaN
13.28,3.40,0.15,0.03,"detected, flux from the deepclean image"
13.28,5.10,0.30,0.02,flux from the deepclean image
13.28,7.00,0.56,0.02,flux from the deepclean image
13.28,13.70,1.37,0.02,NaN
13.28,16.50,1.66,0.02,NaN
13.28,31.10,3.48,0.05,NaN
13.28,34.90,3.92,0.06,NaN
15.36,2.60,0.39,0.04,"detected, flux from the deepclean image"
15.36,3.40,0.53,0.03,flux from the deepclean image
15.36,5.10,0.92,0.02,flux from the deepclean image
15.36,7.00,1.33,0.02,flux from the deepclean image
15.36,13.70,2.29,0.02,flux from the deepclean image
15.36,16.50,2.59,0.02,flux from the deepclean image
15.36,31.10,4.71,0.05,NaN
15.36,34.90,5.18,0.06,NaN
31.19,2.60,1.73,0.04,NaN
31.19,3.40,1.76,0.03,NaN
31.19,5.10,1.91,0.01,NaN
31.19,7.00,2.24,0.02,NaN
31.19,13.70,3.46,0.02,NaN
31.19,16.50,3.90,0.03,NaN
31.19,31.10,6.72,0.07,NaN
31.19,34.90,7.12,0.04,NaN
44.34,2.60,1.17,0.05,flux from the deepclean image
44.34,3.40,1.21,0.03,flux from the deepclean image
44.34,5.10,1.33,0.03,flux from the deepclean image
44.34,7.00,1.61,0.03,flux from the deepclean image
44.34,13.70,2.31,0.03,flux from the deepclean image
44.34,16.50,2.50,0.03,flux from the deepclean image
44.34,31.10,3.16,0.06,flux from the deepclean image
44.34,34.90,3.22,0.07,flux from the deepclean image
74.21,2.60,0.25,0.04,flux from the deepclean image
74.21,3.40,0.39,0.02,flux from the deepclean image
74.21,5.10,0.48,0.02,flux from the deepclean image
74.21,7.00,0.57,0.02,flux from the deepclean image
74.21,13.70,0.67,0.02,flux from the deepclean image
74.21,16.50,0.66,0.02,flux from the deepclean image
74.21,31.10,0.73,0.05,flux from the deepclean image
74.21,34.90,0.74,0.05,flux from the deepclean image
83.19,2.60,0.28,0.05,flux from the deepclean image
83.19,3.40,0.35,0.03,flux from the deepclean image
83.19,5.10,0.43,0.03,flux from the deepclean image
83.19,7.00,0.43,0.03,flux from the deepclean image
83.19,13.70,0.47,0.02,flux from the deepclean image
83.19,16.50,0.49,0.02,flux from the deepclean image
83.19,31.10,0.45,0.05,flux from the deepclean image
83.19,34.90,0.41,0.05,flux from the deepclean image
91.15,2.60,0.13,0.06,flux from the deepclean image
91.15,3.40,0.22,0.02,flux from the deepclean image
91.15,5.10,0.32,0.02,flux from the deepclean image
91.15,7.00,0.31,0.02,flux from the deepclean image
91.15,13.70,0.36,0.02,flux from the deepclean image
91.15,16.50,0.38,0.02,flux from the deepclean image
91.15,31.10,0.41,0.05,flux from the deepclean image
91.15,34.90,0.33,0.05,flux from the deepclean image
142.99,2.60,0.07,0.03,non-detection
142.99,3.40,0.06,0.02,"detected, flux from the deepclean image"
142.99,5.10,0.10,0.02,flux from the deepclean image
142.99,7.00,0.11,0.02,flux from the deepclean image
142.99,13.70,0.10,0.01,flux from the deepclean image
142.99,16.50,0.08,0.02,"detected, flux from the deepclean image"
142.99,31.10,0.08,0.04,non-detection
142.99,34.90,0.06,0.05,non-detection
315.61,2.60,0.01,0.05,non-detection
315.61,3.40,-0.02,0.03,non-detection
315.61,5.10,0.03,0.03,non-detection
315.61,7.00,0.01,0.03,non-detection
315.61,13.70,-0.01,0.02,non-detection
315.61,16.50,-0.01,0.02,non-detection
315.61,31.10,-0.07,0.05,non-detection
315.61,34.90,0.05,0.07,non-detection
409.30,2.60,-0.04,0.03,non-detection
409.30,3.40,-0.01,0.02,non-detection
409.30,5.10,0.02,0.02,non-detection
409.30,7.00,0.01,0.02,non-detection
409.30,13.70,0.01,0.02,non-detection
409.30,16.50,0.00,0.02,non-detection
409.30,31.10,-0.02,0.05,non-detection
409.30,34.90,-0.03,0.06,non-detection